key,key_label,key_type,row,number,width,height,layout
Esc,Esc,modifier,6,1,1.5,1,mac
F1,F1,accent,6,3,1,1,mac
F2,F2,accent,6,4,1,1,mac
F3,F3,accent,6,5,1,1,mac
F4,F4,accent,6,6,1,1,mac
F5,F5,modifier,6,8,1,1,mac
F6,F6,modifier,6,9,1,1,mac
F7,F7,modifier,6,10,1,1,mac
F8,F8,modifier,6,11,1,1,mac
F9,F9,accent,6,13,1,1,mac
F10,F10,accent,6,14,1,1,mac
F11,F11,accent,6,15,1,1,mac
F12,F12,accent,6,16,1,1,mac
Power,NA,modifier,6,17,1,1,mac
Command,Command,modifier,1,4,1.25,1,mac
Left,NA,arrow,1,8,1,1,mac
UpDown,NA,arrow,1,9,1,1,mac
Right,NA,arrow,1,10,1,1,mac
