key,key_label,key_type,row,number,width,height,layout
#,#,steno,4,1,12.5,0.8,steno
S-1,S,steno,3,1,1.25,1,steno
S-2,S,steno,2,1,1.25,1,steno
T-,T,steno,3,2,1.25,1,steno
K,K,steno,2,2,1.25,1,steno
P-,P,steno,3,3,1.25,1,steno
W,W,steno,2,3,1.25,1,steno
H,H,steno,3,4,1.25,1,steno
R-,R,steno,2,4,1.25,1,steno
NA,NA,NA,1,2,3,1,steno
A,A,steno,1,3,1.25,1,steno
O,O,steno,1,4,1.25,1,steno
*,*,steno,2,5,1.25,2,steno
NA,NA,NA,3,5,1.25,1,steno
E,E,steno,1,6,1.25,1,steno
U,U,steno,1,7,1.25,1,steno
F,F,steno,3,6,1.25,1,steno
-R,R,steno,2,6,1.25,1,steno
-P,P,steno,3,7,1.25,1,steno
B,B,steno,2,7,1.25,1,steno
L,L,steno,3,8,1.25,1,steno
G,G,steno,2,8,1.25,1,steno
-T,T,steno,3,9,1.25,1,steno
-S,S,steno,2,9,1.25,1,steno
D,D,steno,3,10,1.25,1,steno
Z,Z,steno,2,10,1.25,1,steno
