key,key_label,key_type,row,number,width,height,layout
NA,NA,NA,1,9,0.25,1,tkl
Left,NA,arrow,1,10,1,1,tkl
Down,NA,arrow,1,11,1,1,tkl
Right,NA,arrow,1,12,1,1,tkl
NA,NA,NA,2,13,1.25,1,tkl
Up,NA,arrow,2,14,1,1,tkl
NA,NA,NA,4,15,0.25,1,tkl
Del,Del,modifier,4,16,1,1,tkl
End,End,modifier,4,17,1,1,tkl
PgDn,PgDn,modifier,4,18,1,1,tkl
~&nbsp;`,~&nbsp;`,alphanumeric,5,1,1,1,tkl
NA,NA,NA,5,15,0.25,1,tkl
Ins,Del,modifier,5,16,1,1,tkl
Home,End,modifier,5,17,1,1,tkl
PgUp,PgDn,modifier,5,18,1,1,tkl
Esc,Esc,modifier,6,1,1,1,tkl
NA,NA,NA,6,2,1,1,tkl
F1,F1,accent,6,3,1,1,tkl
F2,F2,accent,6,4,1,1,tkl
F3,F3,accent,6,5,1,1,tkl
F4,F4,accent,6,6,1,1,tkl
NA,NA,NA,6,7,0.5,1,tkl
F5,F5,modifier,6,8,1,1,tkl
F6,F6,modifier,6,9,1,1,tkl
F7,F7,modifier,6,10,1,1,tkl
F8,F8,modifier,6,11,1,1,tkl
NA,NA,NA,6,12,0.5,1,tkl
F9,F9,accent,6,13,1,1,tkl
F10,F10,accent,6,14,1,1,tkl
F11,F11,accent,6,15,1,1,tkl
F12,F12,accent,6,16,1,1,tkl
NA,NA,NA,6,17,0.25,1,tkl
Print,Print,modifier,6,18,1,1,tkl
Scroll,Scroll,modifier,6,19,1,1,tkl
Pause,Pause,modifier,6,20,1,1,tkl
